location_sec0,content_sec0,location_sec1,content_sec1,location_sec2,content_sec2,location_sec3,content_sec3,location_sec4,content_sec4,location_sec5,content_sec5,location_impldef,content_impldef
lib-intro.tex:2,\rSec0[library]{Library introduction},lib-intro.tex:915,\rSec1[requirements]{Library-wide requirements},lib-intro.tex:2658,\rSec2[conforming]{Conforming implementations},lib-intro.tex:2802,\rSec3[reentrancy]{Reentrancy},lib-intro.tex:-1,,lib-intro.tex:-1,,lib-intro.tex:2805,"Except where explicitly specified in this document, it is \impldef{which functions inthe \Cpp standard library may be recursively reentered}"
lib-intro.tex:2,\rSec0[library]{Library introduction},lib-intro.tex:915,\rSec1[requirements]{Library-wide requirements},lib-intro.tex:2658,\rSec2[conforming]{Conforming implementations},lib-intro.tex:2909,\rSec3[res.on.exception.handling]{Restrictions on exception handling}%,lib-intro.tex:-1,,lib-intro.tex:-1,,lib-intro.tex:2954,may throw \impldef{exceptions thrown by standard library functions that have apotentially-throwing exception specification}
lib-intro.tex:2,\rSec0[library]{Library introduction},lib-intro.tex:915,\rSec1[requirements]{Library-wide requirements},lib-intro.tex:2658,\rSec2[conforming]{Conforming implementations},lib-intro.tex:2985,\rSec3[value.error.codes]{Value of error codes},lib-intro.tex:-1,,lib-intro.tex:-1,,lib-intro.tex:2992,\impldef{\tcode{error_category} for errors originating outside the
support.tex:2,\rSec0[language.support]{Language support library},support.tex:42,\rSec1[support.types]{Common definitions},support.tex:261,\rSec2[support.types.nullptr]{Null pointers},support.tex:-1,,support.tex:-1,,support.tex:-1,,support.tex:278,is an \impldef{definition of \tcode{NULL}} null pointer constant.%
support.tex:2,\rSec0[language.support]{Language support library},support.tex:42,\rSec1[support.types]{Common definitions},support.tex:288,"\rSec2[support.types.layout]{Sizes, alignments, and offsets}",support.tex:-1,,support.tex:-1,,support.tex:-1,,support.tex:314,\impldef{type of \tcode{ptrdiff_t}}
support.tex:2,\rSec0[language.support]{Language support library},support.tex:42,\rSec1[support.types]{Common definitions},support.tex:288,"\rSec2[support.types.layout]{Sizes, alignments, and offsets}",support.tex:-1,,support.tex:-1,,support.tex:-1,,support.tex:320,\impldef{type of \tcode{size_t}}
support.tex:2,\rSec0[language.support]{Language support library},support.tex:1604,\rSec1[support.start.term]{Start and termination},support.tex:-1,,support.tex:-1,,support.tex:-1,,support.tex:-1,,support.tex:1725,an \impldef{exit status}
support.tex:2,\rSec0[language.support]{Language support library},support.tex:1604,\rSec1[support.start.term]{Start and termination},support.tex:-1,,support.tex:-1,,support.tex:-1,,support.tex:-1,,support.tex:1731,an \impldef{exit status} form of the status
support.tex:2,\rSec0[language.support]{Language support library},support.tex:1604,\rSec1[support.start.term]{Start and termination},support.tex:-1,,support.tex:-1,,support.tex:-1,,support.tex:-1,,support.tex:1734,Otherwise the status returned is \impldef{exit status}.\footnote{The macros
support.tex:2,\rSec0[language.support]{Language support library},support.tex:1806,\rSec1[support.dynamic]{Dynamic memory management},support.tex:2506,\rSec2[alloc.errors]{Storage allocation errors},support.tex:2509,\rSec3[bad.alloc]{Class \tcode{bad_alloc}},support.tex:-1,,support.tex:-1,,support.tex:2563,An \impldef{return value of \tcode{bad_alloc::what}} \ntbs.
support.tex:2,\rSec0[language.support]{Language support library},support.tex:1806,\rSec1[support.dynamic]{Dynamic memory management},support.tex:2506,\rSec2[alloc.errors]{Storage allocation errors},support.tex:2573,\rSec3[new.badlength]{Class \tcode{bad_array_new_length}},support.tex:-1,,support.tex:-1,,support.tex:2589,greater than an \impldef{maximum size of an allocated object} limit~(\ref{expr.new}).
support.tex:2,\rSec0[language.support]{Language support library},support.tex:1806,\rSec1[support.dynamic]{Dynamic memory management},support.tex:2506,\rSec2[alloc.errors]{Storage allocation errors},support.tex:2573,\rSec3[new.badlength]{Class \tcode{bad_array_new_length}},support.tex:-1,,support.tex:-1,,support.tex:2609,An \impldef{return value of \tcode{bad_array_new_length::what}} \ntbs.
support.tex:2,\rSec0[language.support]{Language support library},support.tex:2801,\rSec1[support.rtti]{Type identification},support.tex:2825,\rSec2[type.info]{Class \tcode{type_info}},support.tex:-1,,support.tex:-1,,support.tex:-1,,support.tex:2925,An \impldef{return value of \tcode{type_info::name()}} \ntbs.
support.tex:2,\rSec0[language.support]{Language support library},support.tex:2801,\rSec1[support.rtti]{Type identification},support.tex:2934,\rSec2[bad.cast]{Class \tcode{bad_cast}},support.tex:-1,,support.tex:-1,,support.tex:-1,,support.tex:2992,An \impldef{return value of \tcode{bad_cast::what}} \ntbs.
support.tex:2,\rSec0[language.support]{Language support library},support.tex:2801,\rSec1[support.rtti]{Type identification},support.tex:3001,\rSec2[bad.typeid]{Class \tcode{bad_typeid}},support.tex:-1,,support.tex:-1,,support.tex:-1,,support.tex:3059,An \impldef{return value of \tcode{bad_typeid::what}} \ntbs.
support.tex:2,\rSec0[language.support]{Language support library},support.tex:3068,\rSec1[support.exception]{Exception handling},support.tex:3105,\rSec2[exception]{Class \tcode{exception}},support.tex:-1,,support.tex:-1,,support.tex:-1,,support.tex:3188,An \impldef{return value of \tcode{exception::what}} \ntbs.
support.tex:2,\rSec0[language.support]{Language support library},support.tex:3068,\rSec1[support.exception]{Exception handling},support.tex:3200,\rSec2[bad.exception]{Class \tcode{bad_exception}},support.tex:-1,,support.tex:-1,,support.tex:-1,,support.tex:3257,An \impldef{return value of \tcode{bad_exception::what}} \ntbs.
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:2514,\rSec1[optional]{Optional objects},utilities.tex:3527,\rSec2[optional.bad.access]{Class \tcode{bad_optional_access}},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:-1,,utilities.tex:3553,\impldef{return value of \tcode{bad_optional_access::what}}
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:4084,\rSec1[variant]{Variants},utilities.tex:4212,\rSec2[variant.variant]{Class template \tcode{variant}},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:-1,,utilities.tex:4298,It is \impldef{whether \tcode{variant} supports over-aligned types}
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:4084,\rSec1[variant]{Variants},utilities.tex:5387,\rSec2[variant.bad.access]{Class \tcode{bad_variant_access}},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:-1,,utilities.tex:5420,\returns An \impldef{return value of \tcode{bad_variant_access::what}} \ntbs.
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:5469,\rSec1[any]{Storage for any type},utilities.tex:5516,\rSec2[any.bad_any_cast]{Class \tcode{bad_any_cast}},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:-1,,utilities.tex:5536,\returns An \impldef{return value of \tcode{bad_any_cast::what}} \ntbs.
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:6956,\rSec1[memory]{Memory},utilities.tex:7372,\rSec2[util.dynamic.safety]{Pointer safety},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:-1,,utilities.tex:7484,\impldef{whether \tcode{get_pointer_safety} returns
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:8360,\rSec1[smartptr]{Smart pointers},utilities.tex:9516,\rSec2[util.smartptr]{Shared-ownership pointers},utilities.tex:9518,\rSec3[util.smartptr.weak.bad]{Class \tcode{bad_weak_ptr}},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:9541,\impldef{return value of \tcode{bad_weak_ptr::what}} \ntbs.
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:8360,\rSec1[smartptr]{Smart pointers},utilities.tex:9516,\rSec2[util.smartptr]{Shared-ownership pointers},utilities.tex:9545,\rSec3[util.smartptr.shared]{Class template \tcode{shared_ptr}},utilities.tex:9710,\rSec4[util.smartptr.shared.const]{\tcode{shared_ptr} constructors},utilities.tex:-1,,utilities.tex:9763,"\pnum\throws \tcode{bad_alloc}, or an \impldef{exception type when \tcode{shared_ptr}"
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:8360,\rSec1[smartptr]{Smart pointers},utilities.tex:9516,\rSec2[util.smartptr]{Shared-ownership pointers},utilities.tex:9545,\rSec3[util.smartptr.shared]{Class template \tcode{shared_ptr}},utilities.tex:9710,\rSec4[util.smartptr.shared.const]{\tcode{shared_ptr} constructors},utilities.tex:-1,,utilities.tex:9802,"\pnum\throws  \tcode{bad_alloc}, or an \impldef{exception type when \tcode{shared_ptr}"
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:11105,\rSec1[mem.res]{Memory resources},utilities.tex:11783,\rSec2[mem.res.pool]{Pool resource classes},utilities.tex:11897,\rSec3[mem.res.pool.options]{\tcode{pool_options} data members},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:11915,is greater than an \impldef{largest supported value to configure the maximum number of blocks to replenish a pool}
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:11105,\rSec1[mem.res]{Memory resources},utilities.tex:11783,\rSec2[mem.res.pool]{Pool resource classes},utilities.tex:11897,\rSec3[mem.res.pool.options]{\tcode{pool_options} data members},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:11934,is greater than an \impldef{largest supported value to configure the largest allocation satisfied directly by a pool}
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:11105,\rSec1[mem.res]{Memory resources},utilities.tex:11783,\rSec2[mem.res.pool]{Pool resource classes},utilities.tex:11988,\rSec3[mem.res.pool.mem]{Pool resource members},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:12032,values of zero will be replaced with \impldef{default configuration of a pool}
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:11105,\rSec1[mem.res]{Memory resources},utilities.tex:12105,\rSec2[mem.res.monotonic.buffer]{Class \tcode{monotonic_buffer_resource}},utilities.tex:12173,\rSec3[mem.res.monotonic.buffer.ctor]{\tcode{monotonic_buffer_resource} constructor and destructor},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:12194,\impldef{default \tcode{next_buffer_size} for a \tcode{monotonic_buffer_resource}} size.
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:11105,\rSec1[mem.res]{Memory resources},utilities.tex:12105,\rSec2[mem.res.monotonic.buffer]{Class \tcode{monotonic_buffer_resource}},utilities.tex:12173,\rSec3[mem.res.monotonic.buffer.ctor]{\tcode{monotonic_buffer_resource} constructor and destructor},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:12214,by an \impldef{growth factor for \tcode{monotonic_buffer_resource}} growth factor (which need not be integral).
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:11105,\rSec1[mem.res]{Memory resources},utilities.tex:12105,\rSec2[mem.res.monotonic.buffer]{Class \tcode{monotonic_buffer_resource}},utilities.tex:12229,\rSec3[mem.res.monotonic.buffer.mem]{\tcode{monotonic_buffer_resource} members},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:12284,"by an \impldef{growth factor for \tcode{monotonic_buffer_resource}} growth factor (which need not be integral),"
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:12930,\rSec1[function.objects]{Function objects},utilities.tex:12945,\rSec2[functional.syn]{Header \tcode{<functional>} synopsis},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:-1,,utilities.tex:13025,    // \tcode{\placeholder{M}} is the \impldef{number of placeholders for bind expressions} number of placeholders
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:12930,\rSec1[function.objects]{Function objects},utilities.tex:14230,\rSec2[func.bind]{Function object binders}%,utilities.tex:14417,\rSec3[func.bind.place]{Placeholders},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:14423,  // M is the \impldef{number of placeholders for bind expressions} number of placeholders
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:12930,\rSec1[function.objects]{Function objects},utilities.tex:14230,\rSec2[func.bind]{Function object binders}%,utilities.tex:14417,\rSec3[func.bind.place]{Placeholders},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:14436,constructors shall not throw exceptions. It is \impldef{assignability of placeholderobjects}
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:12930,\rSec1[function.objects]{Function objects},utilities.tex:14468,\rSec2[func.wrap]{Polymorphic function wrappers}%,utilities.tex:14475,\rSec3[func.wrap.badcall]{Class \tcode{bad_function_call}}%,utilities.tex:14493,\rSec4[func.wrap.badcall.const]{\tcode{bad_function_call} constructor},utilities.tex:-1,,utilities.tex:14507,\impldef{return value of \tcode{bad_function_call::what}} \ntbs.
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:15248,\rSec1[meta]{Metaprogramming and type traits},utilities.tex:15716,\rSec2[meta.unary]{Unary type traits},utilities.tex:15864,\rSec3[meta.unary.prop]{Type properties},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:16352,\impldef{which scalar types have unique object representations}.
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:15248,\rSec1[meta]{Metaprogramming and type traits},utilities.tex:16562,\rSec2[meta.trans]{Transformations between types},utilities.tex:16799,\rSec3[meta.trans.other]{Other transformations},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:16922,It is \impldef{support for extended alignment} whether any extended alignment is
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:17372,\rSec1[time]{Time utilities},utilities.tex:18888,\rSec2[time.clock]{Clocks},utilities.tex:18895,\rSec3[time.clock.system]{Class \tcode{system_clock}},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:18941,It is \impldef{whether values are rounded or truncated to therequired precision when converting between \tcode{time_t}
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:17372,\rSec1[time]{Time utilities},utilities.tex:18888,\rSec2[time.clock]{Clocks},utilities.tex:18895,\rSec3[time.clock.system]{Class \tcode{system_clock}},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:18956,It is \impldef{whether values are rounded or truncated to therequired precision when converting between \tcode{time_t}
utilities.tex:2,\rSec0[utilities]{General utilities library},utilities.tex:19223,\rSec1[execpol]{Execution policies},utilities.tex:19283,\rSec2[execpol.type]{Execution policy type trait},utilities.tex:-1,,utilities.tex:-1,,utilities.tex:-1,,utilities.tex:19299,or \impldef{additional execution policies supported by parallel algorithms}
strings.tex:2,\rSec0[strings]{Strings library},strings.tex:32,\rSec1[char.traits]{Character traits},strings.tex:286,\rSec2[char.traits.specializations]{\tcode{char_traits} specializations},strings.tex:314,\rSec3[char.traits.specializations.char]{\tcode{struct char_traits<char>}},strings.tex:-1,,strings.tex:-1,,strings.tex:365,shall be an \impldef{type of \tcode{streampos}} type that satisfies the requirements for
strings.tex:2,\rSec0[strings]{Strings library},strings.tex:32,\rSec1[char.traits]{Character traits},strings.tex:286,\rSec2[char.traits.specializations]{\tcode{char_traits} specializations},strings.tex:314,\rSec3[char.traits.specializations.char]{\tcode{struct char_traits<char>}},strings.tex:-1,,strings.tex:-1,,strings.tex:372,shall be an \impldef{type of \tcode{streamoff}} type that satisfies the requirements for
strings.tex:2,\rSec0[strings]{Strings library},strings.tex:32,\rSec1[char.traits]{Character traits},strings.tex:286,\rSec2[char.traits.specializations]{\tcode{char_traits} specializations},strings.tex:314,\rSec3[char.traits.specializations.char]{\tcode{struct char_traits<char>}},strings.tex:-1,,strings.tex:-1,,strings.tex:382,\impldef{supported multibyte character encoding rules} set of supported multibyte
strings.tex:2,\rSec0[strings]{Strings library},strings.tex:32,\rSec1[char.traits]{Character traits},strings.tex:286,\rSec2[char.traits.specializations]{\tcode{char_traits} specializations},strings.tex:397,\rSec3[char.traits.specializations.char16_t]{\tcode{struct char_traits<char16_t>}},strings.tex:-1,,strings.tex:-1,,strings.tex:433,shall be an \impldef{type of \tcode{u16streampos}} type that satisfies the requirements
strings.tex:2,\rSec0[strings]{Strings library},strings.tex:32,\rSec1[char.traits]{Character traits},strings.tex:286,\rSec2[char.traits.specializations]{\tcode{char_traits} specializations},strings.tex:397,\rSec3[char.traits.specializations.char16_t]{\tcode{struct char_traits<char16_t>}},strings.tex:-1,,strings.tex:-1,,strings.tex:444,\impldef{return value of \tcode{char_traits<char16_t>::eof}} constant that cannot appear
strings.tex:2,\rSec0[strings]{Strings library},strings.tex:32,\rSec1[char.traits]{Character traits},strings.tex:286,\rSec2[char.traits.specializations]{\tcode{char_traits} specializations},strings.tex:447,\rSec3[char.traits.specializations.char32_t]{\tcode{struct char_traits<char32_t>}},strings.tex:-1,,strings.tex:-1,,strings.tex:483,shall be an \impldef{type of \tcode{u32streampos}} type that satisfies the requirements
strings.tex:2,\rSec0[strings]{Strings library},strings.tex:32,\rSec1[char.traits]{Character traits},strings.tex:286,\rSec2[char.traits.specializations]{\tcode{char_traits} specializations},strings.tex:447,\rSec3[char.traits.specializations.char32_t]{\tcode{struct char_traits<char32_t>}},strings.tex:-1,,strings.tex:-1,,strings.tex:494,\impldef{return value of \tcode{char_traits<char32_t>::eof}} constant that cannot appear as a Unicode
strings.tex:2,\rSec0[strings]{Strings library},strings.tex:32,\rSec1[char.traits]{Character traits},strings.tex:286,\rSec2[char.traits.specializations]{\tcode{char_traits} specializations},strings.tex:497,\rSec3[char.traits.specializations.wchar.t]{\tcode{struct char_traits<wchar_t>}},strings.tex:-1,,strings.tex:-1,,strings.tex:546,shall be an \impldef{type of \tcode{wstreampos}} type that satisfies the requirements
strings.tex:2,\rSec0[strings]{Strings library},strings.tex:32,\rSec1[char.traits]{Character traits},strings.tex:286,\rSec2[char.traits.specializations]{\tcode{char_traits} specializations},strings.tex:497,\rSec3[char.traits.specializations.wchar.t]{\tcode{struct char_traits<wchar_t>}},strings.tex:-1,,strings.tex:-1,,strings.tex:554,and can represent any of the conversion states that can occur in an \impldef{supportedmultibyte character encoding rules}
locales.tex:2,\rSec0[localization]{Localization library},locales.tex:117,\rSec1[locales]{Locales},locales.tex:119,\rSec2[locale]{Class \tcode{locale}},locales.tex:-1,,locales.tex:-1,,locales.tex:-1,,locales.tex:281,object per thread is \impldef{whether locale object is global or per-thread}.
locales.tex:2,\rSec0[localization]{Localization library},locales.tex:117,\rSec1[locales]{Locales},locales.tex:119,\rSec2[locale]{Class \tcode{locale}},locales.tex:286,\rSec3[locale.types]{\tcode{locale} types},locales.tex:289,\rSec4[locale.category]{Type \tcode{locale::category}},locales.tex:-1,,locales.tex:452,\impldef{set of character types that iostreams templates can be instantiated for}
locales.tex:2,\rSec0[localization]{Localization library},locales.tex:117,\rSec1[locales]{Locales},locales.tex:119,\rSec2[locale]{Class \tcode{locale}},locales.tex:579,\rSec3[locale.cons]{\tcode{locale} constructors and destructor},locales.tex:-1,,locales.tex:-1,,locales.tex:636,and any \impldef{locale names} values.
locales.tex:2,\rSec0[localization]{Localization library},locales.tex:117,\rSec1[locales]{Locales},locales.tex:119,\rSec2[locale]{Class \tcode{locale}},locales.tex:866,\rSec3[locale.statics]{\tcode{locale} static members},locales.tex:-1,,locales.tex:-1,,locales.tex:888,"otherwise, the effect on the C locale, if any, is \impldef{effect on C locale of calling\tcode{locale::global}"
locales.tex:2,\rSec0[localization]{Localization library},locales.tex:1041,\rSec1[locale.categories]{Standard \tcode{locale} categories},locales.tex:1090,\rSec2[category.ctype]{The \tcode{ctype} category},locales.tex:1534,\rSec3[facet.ctype.special]{\tcode{ctype} specializations},locales.tex:-1,,locales.tex:-1,,locales.tex:1599,The \impldef{value of \tcode{ctype<char>::table_size}} value of member
locales.tex:2,\rSec0[localization]{Localization library},locales.tex:1041,\rSec1[locale.categories]{Standard \tcode{locale} categories},locales.tex:3510,\rSec2[category.time]{The time category},locales.tex:3534,\rSec3[locale.time.get]{Class template \tcode{time_get}},locales.tex:3761,\rSec4[locale.time.get.virtuals]{\tcode{time_get} virtual functions},locales.tex:-1,,locales.tex:3837,An implementation may also accept additional \impldef{additional formats for \tcode{time_get::do_get_date}} formats.
locales.tex:2,\rSec0[localization]{Localization library},locales.tex:1041,\rSec1[locale.categories]{Standard \tcode{locale} categories},locales.tex:3510,\rSec2[category.time]{The time category},locales.tex:3534,\rSec3[locale.time.get]{Class template \tcode{time_get}},locales.tex:3761,\rSec4[locale.time.get.virtuals]{\tcode{time_get} virtual functions},locales.tex:-1,,locales.tex:3884,\impldef{whether \tcode{time_get::do_get_year} accepts two-digit year numbers} whether
locales.tex:2,\rSec0[localization]{Localization library},locales.tex:1041,\rSec1[locale.categories]{Standard \tcode{locale} categories},locales.tex:3510,\rSec2[category.time]{The time category},locales.tex:3966,\rSec3[locale.time.put]{Class template \tcode{time_put}},locales.tex:4062,\rSec4[locale.time.put.virtuals]{\tcode{time_put} virtual functions},locales.tex:-1,,locales.tex:4083,that are described as depending on the C locale are instead \impldef{formatted charactersequence generated by \tcode{time_put::do_put}
locales.tex:2,\rSec0[localization]{Localization library},locales.tex:1041,\rSec1[locale.categories]{Standard \tcode{locale} categories},locales.tex:4875,\rSec2[category.messages]{The message retrieval category},locales.tex:4882,\rSec3[locale.messages]{Class template \tcode{messages}},locales.tex:4963,\rSec4[locale.messages.virtuals]{\tcode{messages} virtual functions},locales.tex:-1,,locales.tex:4976,\tcode{name} according to an \impldef{mapping from name to catalog when calling
locales.tex:2,\rSec0[localization]{Localization library},locales.tex:1041,\rSec1[locale.categories]{Standard \tcode{locale} categories},locales.tex:4875,\rSec2[category.messages]{The message retrieval category},locales.tex:4882,\rSec3[locale.messages]{Class template \tcode{messages}},locales.tex:4963,\rSec4[locale.messages.virtuals]{\tcode{messages} virtual functions},locales.tex:-1,,locales.tex:5006,to an \impldef{mapping to message when calling \tcode{messages::do_get}} mapping. If no
locales.tex:2,\rSec0[localization]{Localization library},locales.tex:1041,\rSec1[locale.categories]{Standard \tcode{locale} categories},locales.tex:4875,\rSec2[category.messages]{The message retrieval category},locales.tex:4882,\rSec3[locale.messages]{Class template \tcode{messages}},locales.tex:4963,\rSec4[locale.messages.virtuals]{\tcode{messages} virtual functions},locales.tex:-1,,locales.tex:5028,"The limit on such resources, if any, is \impldef{resource limits on a message catalog}."
containers.tex:2,\rSec0[containers]{Containers library},containers.tex:7495,\rSec1[unord]{Unordered associative containers},containers.tex:7639,\rSec2[unord.map]{Class template \tcode{unordered_map}}%,containers.tex:7910,\rSec3[unord.map.cnstr]{\tcode{unordered_map} constructors},containers.tex:-1,,containers.tex:-1,,containers.tex:7926,the number of buckets is \impldef{default number of buckets in\tcode{unordered_map}
containers.tex:2,\rSec0[containers]{Containers library},containers.tex:7495,\rSec1[unord]{Unordered associative containers},containers.tex:7639,\rSec2[unord.map]{Class template \tcode{unordered_map}}%,containers.tex:7910,\rSec3[unord.map.cnstr]{\tcode{unordered_map} constructors},containers.tex:-1,,containers.tex:-1,,containers.tex:7954,"provided, the number of buckets is \impldef{default number of buckets in\tcode{unordered_map}"
containers.tex:2,\rSec0[containers]{Containers library},containers.tex:7495,\rSec1[unord]{Unordered associative containers},containers.tex:8203,\rSec2[unord.multimap]{Class template \tcode{unordered_multimap}}%,containers.tex:8459,\rSec3[unord.multimap.cnstr]{\tcode{unordered_multimap} constructors},containers.tex:-1,,containers.tex:-1,,containers.tex:8475,the number of buckets is \impldef{default number of buckets in\tcode{unordered_multimap}
containers.tex:2,\rSec0[containers]{Containers library},containers.tex:7495,\rSec1[unord]{Unordered associative containers},containers.tex:8203,\rSec2[unord.multimap]{Class template \tcode{unordered_multimap}}%,containers.tex:8459,\rSec3[unord.multimap.cnstr]{\tcode{unordered_multimap} constructors},containers.tex:-1,,containers.tex:-1,,containers.tex:8503,"provided, the number of buckets is \impldef{default number of buckets in\tcode{unordered_multimap}"
containers.tex:2,\rSec0[containers]{Containers library},containers.tex:7495,\rSec1[unord]{Unordered associative containers},containers.tex:8562,\rSec2[unord.set]{Class template \tcode{unordered_set}}%,containers.tex:8796,\rSec3[unord.set.cnstr]{\tcode{unordered_set} constructors},containers.tex:-1,,containers.tex:-1,,containers.tex:8812,the number of buckets is \impldef{default number of buckets in\tcode{unordered_set}
containers.tex:2,\rSec0[containers]{Containers library},containers.tex:7495,\rSec1[unord]{Unordered associative containers},containers.tex:8562,\rSec2[unord.set]{Class template \tcode{unordered_set}}%,containers.tex:8796,\rSec3[unord.set.cnstr]{\tcode{unordered_set} constructors},containers.tex:-1,,containers.tex:-1,,containers.tex:8840,"provided, the number of buckets is \impldef{default number of buckets in\tcode{unordered_set}"
containers.tex:2,\rSec0[containers]{Containers library},containers.tex:7495,\rSec1[unord]{Unordered associative containers},containers.tex:8865,\rSec2[unord.multiset]{Class template \tcode{unordered_multiset}}%,containers.tex:9105,\rSec3[unord.multiset.cnstr]{\tcode{unordered_multiset} constructors},containers.tex:-1,,containers.tex:-1,,containers.tex:9121,the number of buckets is \impldef{default number of buckets in\tcode{unordered_multiset}
containers.tex:2,\rSec0[containers]{Containers library},containers.tex:7495,\rSec1[unord]{Unordered associative containers},containers.tex:8865,\rSec2[unord.multiset]{Class template \tcode{unordered_multiset}}%,containers.tex:9105,\rSec3[unord.multiset.cnstr]{\tcode{unordered_multiset} constructors},containers.tex:-1,,containers.tex:-1,,containers.tex:9151,"provided, the number of buckets is \impldef{default number of buckets in\tcode{unordered_multiset}"
algorithms.tex:2,\rSec0[algorithms]{Algorithms library},algorithms.tex:1232,\rSec1[algorithms.parallel]{Parallel algorithms},algorithms.tex:1295,\rSec2[algorithms.parallel.exec]{Effect of execution policies on algorithm execution},algorithms.tex:-1,,algorithms.tex:-1,,algorithms.tex:-1,,algorithms.tex:1334,\impldef{forward progress guarantees for implicit threads of parallel algorithms (if not defined for \tcode{thread})}.
algorithms.tex:2,\rSec0[algorithms]{Algorithms library},algorithms.tex:1232,\rSec1[algorithms.parallel]{Parallel algorithms},algorithms.tex:1295,\rSec2[algorithms.parallel.exec]{Effect of execution policies on algorithm execution},algorithms.tex:-1,,algorithms.tex:-1,,algorithms.tex:-1,,algorithms.tex:1452,\impldef{additional execution policies supported by parallel algorithms} type are
algorithms.tex:2,\rSec0[algorithms]{Algorithms library},algorithms.tex:1232,\rSec1[algorithms.parallel]{Parallel algorithms},algorithms.tex:1295,\rSec2[algorithms.parallel.exec]{Effect of execution policies on algorithm execution},algorithms.tex:-1,,algorithms.tex:-1,,algorithms.tex:-1,,algorithms.tex:1453,\impldef{semantics of parallel algorithms invoked withimple\-men\-tation-defined execution policies}
numerics.tex:2,\rSec0[numerics]{Numerics library},numerics.tex:152,\rSec1[cfenv]{The floating-point environment},numerics.tex:153,\rSec2[cfenv.syn]{Header \tcode{<cfenv>} synopsis},numerics.tex:-1,,numerics.tex:-1,,numerics.tex:-1,,numerics.tex:223,it is \impldef{whether pragma \tcode{FENV_ACCESS} is supported}~(\ref{cpp.pragma})
numerics.tex:2,\rSec0[numerics]{Numerics library},numerics.tex:152,\rSec1[cfenv]{The floating-point environment},numerics.tex:153,\rSec2[cfenv.syn]{Header \tcode{<cfenv>} synopsis},numerics.tex:-1,,numerics.tex:-1,,numerics.tex:-1,,numerics.tex:225,it is \impldef{whether \tcode{<cfenv>} functions can be used to manage floating-point status}
numerics.tex:2,\rSec0[numerics]{Numerics library},numerics.tex:247,\rSec1[complex.numbers]{Complex numbers},numerics.tex:1021,\rSec2[complex.transcendentals]{\tcode{complex} transcendentals},numerics.tex:-1,,numerics.tex:-1,,numerics.tex:-1,,numerics.tex:1200,"is \impldef{value of \tcode{pow(0,0)}}."
numerics.tex:2,\rSec0[numerics]{Numerics library},numerics.tex:1377,\rSec1[rand]{Random number generation},numerics.tex:3626,\rSec2[rand.predef]{Engines and engine adaptors with predefined parameters}%,numerics.tex:-1,,numerics.tex:-1,,numerics.tex:-1,,numerics.tex:3776,using default_random_engine = @\textit{\impldef{type of \tcode{default_random_engine}}}@;
